"shop_ID" "region" "food_type" "review_n" "taste" "environment" "service" "score_avg" "cost_avg"
"2084941" "北太平庄" "其他小吃" 38 23 17 20 3.52 23
"2093698" "北太平庄" "其他小吃" 9 20 16 16 2.33 12
"2101591" "五道口" "韩国料理" 42 23 20 21 3.78 27
"2105443" "北太平庄" "小吃" 170 18 15 15 2.96 22
"2114959" "五道口" "其他小吃" 23 19 14 14 3.12 14
"2119537" "北太平庄" "小吃" 55 20 18 17 3.43 23
"2120731" "五道口" "川菜" 190 24 18 18 3.6 48
"2120872" "五道口" "川菜" 21 22 19 19 3.31 15
"2123890" "北太平庄" "北京菜" 10 20 18 19 3.6 76
"2125846" "五道口" "快餐" 20 20 16 18 3.88 14
"2132704" "五道口" "咖啡厅" 28 20 19 20 3.7 49
"2135173" "北太平庄" "川菜" 28 20 17 19 3.22 25
"2180206" "五道口" "韩国料理" 51 23 24 22 3.46 100
"2181556" "五道口" "北京菜" 98 23 23 22 4.05 77
"2190160" "五道口" "火锅" 572 21 27 20 3.39 75
"2190187" "五道口" "火锅" 182 25 18 17 3.52 56
"2197891" "北太平庄" "北京菜" 73 21 17 19 3.17 46
"2207071" "五道口" "小吃" 64 19 17 17 3.23 22
"2207440" "五道口" "快餐" 120 22 21 20 3.72 20
"2212648" "五道口" "北京菜" 41 23 21 21 3.29 45
"2212651" "五道口" "北京菜" 75 21 18 18 3.46 29
"2212855" "五道口" "快餐" 105 21 17 20 3.47 20
"2214247" "五道口" "小吃" 22 21 19 17 3.33 31
"2214490" "五道口" "韩国料理" 6 21 17 19 5 37
"2226736" "五道口" "川菜" 92 21 18 20 3.36 44
"2242552" "五道口" "韩国料理" 740 25 21 20 3.78 54
"2246812" "五道口" "小吃" 85 19 17 17 3.24 28
"2249641" "五道口" "北京菜" 33 22 20 20 3.77 36
"2250880" "五道口" "快餐" 29 18 16 14 2.62 4
"2259295" "五道口" "韩国料理" 32 22 20 20 3.56 69
"2265106" "五道口" "甜点" 353 26 19 21 3.84 7
"2269588" "北太平庄" "小吃" 84 24 12 16 3.53 31
"2273329" "五道口" "小吃" 100 23 12 15 3.81 10
"2273797" "五道口" "快餐" 160 20 17 17 3.25 18
"2274244" "北太平庄" "川菜" 24 22 24 23 3.8 141
"2275249" "五道口" "川菜" 151 22 15 17 3.26 33
"2306422" "五道口" "韩国料理" 35 20 18 19 3.21 19
"2306881" "五道口" "咖啡厅" 19 22 20 19 3.75 24
"2308057" "五道口" "北京菜" 152 26 22 21 3.93 37
"2316268" "五道口" "北京菜" 25 22 21 19 3.52 43
"2316811" "北太平庄" "面包" 30 23 20 20 3.58 27
"2323861" "北太平庄" "快餐" 69 19 17 14 3.2 37
"2326996" "五道口" "咖啡厅" 428 25 27 24 3.97 41
"2328811" "五道口" "快餐" 20 22 19 18 4 6
"2330332" "北太平庄" "火锅" 43 20 16 17 2.85 64
"2335510" "五道口" "北京菜" 106 23 21 21 3.48 38
"2337358" "五道口" "小吃" 42 23 17 18 3.52 12
"2339266" "五道口" "北京菜" 47 24 20 19 3.55 21
"2339395" "五道口" "咖啡厅" 858 21 24 22 3.66 42
"2341198" "五道口" "面包" 7 19 17 17 3 5
"2348791" "五道口" "北京菜" 60 23 19 19 3.52 19
"2355289" "五道口" "小吃" 56 21 14 16 3.2 8
"2360917" "北太平庄" "面包" 16 18 16 17 3 23
"2365051" "北太平庄" "北京菜" 8 22 18 19 3.66 18
"2365528" "五道口" "咖啡厅" 17 25 27 24 4 192
"2367019" "五道口" "面包" 50 25 25 25 3.44 144
"2369341" "五道口" "北京菜" 87 26 18 21 3.86 8
"2369638" "五道口" "川菜" 906 21 20 18 3.42 61
"2372335" "五道口" "韩国料理" 26 22 20 20 3.6 57
"2373523" "北太平庄" "面包" 15 21 19 19 3.71 28
"2378053" "五道口" "快餐" 7 21 17 18 3.66 12
"2379193" "北太平庄" "小吃" 100 24 16 17 3.37 13
"2379367" "五道口" "面包" 955 29 27 24 4 26
"2380966" "北太平庄" "其他小吃" 42 25 17 19 4.05 16
"2381482" "北太平庄" "面包" 19 20 20 20 3.36 15
"2388184" "五道口" "小吃" 27 19 15 16 3.2 19
"2390392" "北太平庄" "面包" 48 25 20 20 3.75 22
"2399731" "五道口" "小吃" 18 17 16 15 2.85 30
"2399893" "五道口" "北京菜" 522 23 27 25 3.74 89
"2404162" "五道口" "韩国料理" 903 25 23 23 3.79 62
"2404204" "五道口" "甜点" 367 25 20 19 3.74 10
"2404228" "五道口" "小吃" 139 27 22 21 4 47
"2404240" "五道口" "火锅" 473 19 16 15 3.13 75
"2404255" "五道口" "小吃" 271 22 23 21 3.46 30
"2404300" "五道口" "韩国料理" 381 19 18 16 3.41 28
"2405785" "北太平庄" "火锅" 22 18 15 15 2.53 31
"2408281" "五道口" "面包" 20 20 19 19 3.27 21
"2410459" "五道口" "小吃" 291 21 15 16 3.3 39
"2414017" "五道口" "面包" 14 18 17 17 3.25 14
"2414941" "北太平庄" "小吃" 20 21 15 16 3.16 11
"2415118" "五道口" "火锅" 84 21 15 15 3.35 60
"2416006" "北太平庄" "快餐" 16 19 16 16 3.27 5
"2416009" "北太平庄" "北京菜" 46 21 20 19 3.5 36
"2416345" "五道口" "小吃" 130 21 17 15 3.2 25
"2416834" "五道口" "面包" 17 20 18 18 3.25 27
"2423755" "北太平庄" "川菜" 11 22 18 18 3.75 55
"2426011" "五道口" "火锅" 53 26 18 22 3.91 62
"2430025" "北太平庄" "小吃" 147 28 20 21 4.14 31
"2439151" "北太平庄" "面包" 9 20 17 18 3.33 13
"2440999" "五道口" "快餐" 103 20 19 17 3.23 29
"2444086" "五道口" "咖啡厅" 11 20 18 17 3.42 15
"2444365" "五道口" "小吃" 11 23 20 20 3.87 30
"2449909" "五道口" "川菜" 87 26 19 20 3.73 35
"2471557" "五道口" "快餐" 298 20 19 18 3.41 18
"2478106" "北太平庄" "咖啡厅" 20 20 17 18 3.38 22
"2482198" "五道口" "甜点" 33 18 18 18 3.27 18
"2484088" "北太平庄" "川菜" 14 21 16 17 3.55 27
"2487751" "北太平庄" "快餐" 52 19 17 17 2.9 25
"2493115" "五道口" "北京菜" 97 26 22 22 4.06 22
"2502727" "五道口" "面包" 528 29 25 25 4.15 42
"2515585" "五道口" "川菜" 40 21 16 16 3.72 35
"2518099" "五道口" "韩国料理" 65 21 18 19 3.11 44
"2520955" "北太平庄" "其他小吃" 120 24 11 17 3.87 17
"2522995" "北太平庄" "面包" 35 19 18 16 3.11 20
"2523070" "五道口" "小吃" 30 21 14 17 3.37 10
"2524246" "五道口" "川菜" 1420 26 26 25 4.03 69
"2527300" "五道口" "北京菜" 56 22 17 18 3.31 19
"2545960" "北太平庄" "小吃" 48 18 16 15 3.06 16
"2548252" "五道口" "小吃" 106 27 23 24 4.02 30
"2551843" "北太平庄" "小吃" 17 24 14 16 3.92 25
"2553088" "北太平庄" "北京菜" 26 21 21 19 3.42 12
"2564662" "五道口" "韩国料理" 11 22 18 18 3.5 42
"2565769" "北太平庄" "小吃" 94 18 15 15 2.95 17
"2567599" "北太平庄" "北京菜" 27 22 18 19 2.94 31
"2568874" "五道口" "咖啡厅" 15 21 19 18 2.07 47
"2570638" "北太平庄" "小吃" 81 21 20 18 3.5 24
"2575084" "五道口" "小吃" 8 18 17 17 3 15
"2576512" "北太平庄" "面包" 15 19 17 15 3 14
"2578435" "五道口" "面包" 51 18 17 16 3.38 19
"2579545" "北太平庄" "小吃" 6 20 17 17 2 31
"2583460" "五道口" "小吃" 133 21 20 18 3.39 17
"2585002" "五道口" "北京菜" 13 21 20 19 3 33
"2588857" "北太平庄" "咖啡厅" 234 21 24 22 3.63 44
"2589589" "五道口" "川菜" 23 22 17 17 3.18 15
"2592913" "北太平庄" "其他小吃" 11 20 16 17 2.57 3
"2599645" "五道口" "小吃" 74 21 16 16 3.38 19
"2606812" "北太平庄" "小吃" 7 20 17 18 3 32
"2628478" "五道口" "快餐" 119 21 21 20 3.37 25
"2629393" "北太平庄" "北京菜" 34 20 20 20 3.48 6
"2629465" "北太平庄" "小吃" 213 20 17 15 2.97 27
"2629471" "北太平庄" "小吃" 25 18 16 16 2.62 15
"2631994" "北太平庄" "其他小吃" 6 19 16 16 1.66 10
"2636212" "北太平庄" "火锅" 206 20 20 20 3.4 49
"2637685" "北太平庄" "火锅" 89 21 12 15 3.29 41
"2637814" "北太平庄" "面包" 75 24 21 20 3.66 24
"2646916" "北太平庄" "小吃" 15 22 18 19 3.83 51
"2648203" "北太平庄" "其他小吃" 34 17 15 14 2.96 14
"2649499" "北太平庄" "甜点" 9 22 17 18 3.33 5
"2658403" "北太平庄" "川菜" 198 21 16 17 3.22 55
"2659315" "北太平庄" "咖啡厅" 27 21 20 20 3.35 34
"2659333" "五道口" "快餐" 30 19 17 18 3 21
"2659387" "北太平庄" "快餐" 86 20 18 18 3.21 23
"2660929" "五道口" "快餐" 122 21 17 17 3.4 10146
"2668516" "北太平庄" "快餐" 20 18 16 15 3.23 20
"2674162" "五道口" "北京菜" 33 24 21 21 3.83 29
"2685775" "北太平庄" "小吃" 15 20 17 18 2 18
"2687263" "北太平庄" "小吃" 27 22 15 17 3.46 11
"2687716" "北太平庄" "川菜" 10 22 20 20 3.37 31
"2696635" "五道口" "川菜" 14 22 18 19 3 14
"2702329" "北太平庄" "小吃" 14 22 17 19 3.63 26
"2711266" "五道口" "快餐" 86 22 20 19 3.73 18
"2725351" "北太平庄" "北京菜" 67 21 19 18 3.11 43
"2727826" "五道口" "其他小吃" 8 20 17 17 3.16 18
"2731606" "五道口" "小吃" 34 18 14 16 3 30
"2732869" "五道口" "小吃" 7 22 18 18 3.4 10
"2735875" "北太平庄" "小吃" 13 19 16 16 3.33 26
"2736283" "北太平庄" "北京菜" 19 23 19 20 3.69 27
"2736793" "五道口" "小吃" 15 20 18 17 3.5 43
"2739349" "北太平庄" "面包" 8 20 17 17 3.5 7
"2739976" "北太平庄" "火锅" 34 21 15 17 3 36
"2750707" "北太平庄" "小吃" 7 21 16 17 3.75 36
"2753728" "北太平庄" "火锅" 10 21 16 17 3.66 49
"2755150" "北太平庄" "川菜" 2320 28 23 23 4.08 56
"2763016" "五道口" "其他小吃" 24 22 16 17 3.7 12
"2765284" "五道口" "咖啡厅" 12 20 18 17 3.45 54
"2770306" "北太平庄" "快餐" 12 21 16 17 3.37 15
"2771515" "北太平庄" "北京菜" 12 21 20 20 4 53
"2774542" "北太平庄" "其他小吃" 10 20 16 16 3.12 29
"2789713" "五道口" "小吃" 10 22 15 17 4 6
"2814340" "五道口" "甜点" 62 26 20 22 3.88 26
"2814547" "北太平庄" "川菜" 43 23 16 17 3.38 47
"2816389" "五道口" "快餐" 48 24 19 22 3.81 12
"2819437" "五道口" "北京菜" 27 23 21 20 3.69 5
"2823916" "北太平庄" "川菜" 206 25 20 21 3.78 46
"2824306" "五道口" "快餐" 39 26 24 24 3.76 25
"2824597" "北太平庄" "小吃" 21 22 14 18 3.43 3
"2824687" "五道口" "北京菜" 33 22 21 19 3.54 20
"2826217" "五道口" "快餐" 63 17 16 16 3.12 23
"2827057" "北太平庄" "北京菜" 160 22 21 19 3.39 44
"2827720" "五道口" "小吃" 21 19 15 15 3 17
"2837908" "五道口" "小吃" 420 28 17 21 3.99 9
"2841568" "北太平庄" "快餐" 34 23 21 21 3.65 25
"2846926" "五道口" "面包" 22 17 18 17 2.53 22
"2852569" "五道口" "小吃" 51 21 18 18 3.37 15
"2856940" "北太平庄" "快餐" 24 22 21 19 3.57 24
"2859724" "五道口" "其他小吃" 15 23 16 19 4.08 3
"2866009" "北太平庄" "其他小吃" 17 23 14 18 3.78 13
"2866069" "北太平庄" "小吃" 10 23 18 20 4 2
"2866081" "北太平庄" "小吃" 8 22 17 18 4.2 15
"2880016" "五道口" "甜点" 11 20 16 19 3 4
"2890417" "北太平庄" "小吃" 9 21 18 18 3.57 21
"2892958" "北太平庄" "快餐" 83 18 18 16 3.02 20
"2897392" "五道口" "北京菜" 15 21 18 19 3 17
"2899978" "五道口" "快餐" 23 21 19 18 3.12 23
"2900014" "五道口" "小吃" 145 20 19 17 3.27 26
"2901193" "五道口" "咖啡厅" 96 22 24 23 3.87 41
"2905372" "五道口" "面包" 53 20 18 16 3.3 21
"2911198" "五道口" "火锅" 159 28 19 21 3.84 44
"2914819" "五道口" "其他小吃" 23 18 15 15 3.11 15
"2915167" "五道口" "小吃" 11 22 19 19 3.1 10
"2916916" "五道口" "面包" 8 21 18 22 4.33 5
"2921476" "北太平庄" "快餐" 32 17 16 15 3.26 26
"2922049" "五道口" "火锅" 289 21 21 19 3.25 74
"2924731" "北太平庄" "甜点" 11 21 18 18 3 5
"2926732" "五道口" "川菜" 213 19 19 16 3.28 59
"2931346" "五道口" "北京菜" 13 22 20 20 3.6 43
"2935255" "五道口" "面包" 178 22 16 16 3.28 13
"2935573" "五道口" "小吃" 48 24 19 18 3.67 15
"2938852" "五道口" "小吃" 417 25 22 20 3.87 24
"2941153" "北太平庄" "其他小吃" 10 20 16 16 3.33 3
"2942908" "北太平庄" "咖啡厅" 34 19 20 20 3.03 36
"2943145" "五道口" "小吃" 31 22 16 17 3.56 9
"2943625" "五道口" "快餐" 10 19 16 17 3 20
"2948095" "北太平庄" "面包" 7 21 18 18 3.2 14
"2949112" "北太平庄" "川菜" 6 20 17 17 3 17
"2949559" "五道口" "快餐" 73 21 18 18 3.53 12
"2950870" "五道口" "火锅" 573 26 18 20 3.79 34
"2952601" "五道口" "面包" 28 22 17 19 4 7
"2959945" "五道口" "北京菜" 15 21 19 19 3.5 18
"2961007" "北太平庄" "小吃" 13 22 18 19 4 62
"2972311" "五道口" "韩国料理" 2327 26 24 24 3.9 57
"2983009" "五道口" "小吃" 27 22 18 17 3.36 26
"2985892" "五道口" "川菜" 16 23 19 19 3.16 34
"2986738" "北太平庄" "快餐" 36 18 17 18 2.85 26
"3003973" "五道口" "快餐" 49 19 17 16 3.19 19
"3009175" "五道口" "小吃" 7 21 18 18 4 12
"3013849" "五道口" "火锅" 13 24 17 20 4.37 25
"3014908" "五道口" "其他小吃" 11 21 18 19 3.33 12
"3015013" "五道口" "面包" 8 21 16 18 3.2 3
"3015295" "五道口" "面包" 10 20 18 18 4 8
"3024574" "五道口" "其他小吃" 17 22 16 17 3.66 5
"3028489" "五道口" "咖啡厅" 35 24 22 23 3.96 38
"3040843" "北太平庄" "小吃" 13 23 15 18 3.81 7
"3044974" "北太平庄" "甜点" 7 20 17 18 3.33 12
"3048133" "五道口" "川菜" 13 22 19 20 3.55 32
"3050521" "五道口" "火锅" 144 24 19 19 3.78 33
"3051781" "北太平庄" "快餐" 21 20 19 17 3 30
"3051817" "五道口" "面包" 15 22 20 16 2.84 25
"3054889" "五道口" "咖啡厅" 13 19 17 17 3 37
"3055396" "五道口" "小吃" 12 21 18 18 2.9 18
"3057187" "五道口" "甜点" 24 24 20 21 3.91 8
"3063157" "北太平庄" "川菜" 76 22 20 19 3.38 49
"3075307" "北太平庄" "甜点" 30 21 17 19 3.64 6
"3075829" "北太平庄" "小吃" 6 24 17 19 3.83 38
"3081034" "五道口" "面包" 19 23 20 20 3.6 22
"3085894" "北太平庄" "咖啡厅" 17 23 24 23 3.85 48
"3094564" "北太平庄" "小吃" 35 23 19 18 3.26 14
"3099364" "五道口" "其他小吃" 10 21 18 19 3.66 14
"3101473" "五道口" "小吃" 30 20 19 18 2.82 43
"3106702" "北太平庄" "火锅" 44 23 18 20 3.79 52
"3108361" "五道口" "小吃" 32 21 17 17 3.28 14
"3112357" "五道口" "快餐" 13 22 20 20 3.54 12
"3113665" "五道口" "咖啡厅" 12 21 18 18 3.75 15
"3113686" "五道口" "小吃" 24 23 18 20 3.78 17
"3116893" "北太平庄" "北京菜" 191 25 21 22 3.7 46
"3117436" "北太平庄" "小吃" 233 25 13 16 3.5 71
"3119371" "五道口" "韩国料理" 157 22 23 24 3.73 72
"3121684" "五道口" "快餐" 23 20 18 19 3.36 18
"3127669" "五道口" "川菜" 18 20 17 15 3.18 31
"3130588" "五道口" "其他小吃" 42 18 17 15 2.96 17
"3130771" "五道口" "川菜" 29 21 18 19 3.34 43
"3133897" "五道口" "韩国料理" 293 24 18 18 3.46 36
"3146239" "五道口" "北京菜" 19 22 19 18 3.68 18
"3148120" "五道口" "小吃" 28 22 18 19 3.88 13
"3151060" "五道口" "韩国料理" 1766 28 20 21 3.91 59
"3167224" "北太平庄" "小吃" 34 19 16 16 3.1 20
"3167458" "北太平庄" "北京菜" 15 24 25 23 3.93 445
"3168511" "五道口" "火锅" 182 24 20 21 3.42 49
"3172144" "五道口" "其他小吃" 739 21 21 16 3.38 41
"3175159" "北太平庄" "甜点" 6 21 17 19 3.5 6
"3195202" "五道口" "小吃" 44 23 18 19 3.42 24
"3198304" "五道口" "咖啡厅" 47 18 19 18 3 52
"3200539" "北太平庄" "小吃" 33 24 15 18 3.69 25
"3203623" "五道口" "甜点" 9 20 17 18 3.4 7
"3203653" "五道口" "快餐" 20 19 16 18 2.92 14
"3207517" "五道口" "火锅" 195 25 18 19 3.71 32
"3215488" "五道口" "韩国料理" 915 27 24 22 3.85 72
"3225046" "五道口" "川菜" 10 19 17 17 2.88 28
"3225208" "北太平庄" "小吃" 16 22 18 17 3.78 13
"3227980" "北太平庄" "其他小吃" 27 21 15 18 3.42 13
"3261646" "五道口" "小吃" 9 21 17 17 3.4 28
"3266041" "五道口" "快餐" 19 21 20 21 3.15 26
"3270580" "北太平庄" "小吃" 286 26 23 21 4.01 28
"3302131" "北太平庄" "甜点" 11 18 16 17 3 6
"3308314" "北太平庄" "快餐" 48 20 18 20 3.15 20
"3308545" "北太平庄" "川菜" 16 24 20 20 4 47
"3315631" "北太平庄" "小吃" 22 23 19 20 3.94 37
"3315835" "五道口" "小吃" 30 20 17 19 3.21 21
"3316768" "北太平庄" "小吃" 11 18 16 16 2.66 21
"3331429" "五道口" "小吃" 12 24 18 20 4.36 13
"3342625" "北太平庄" "火锅" 202 25 22 20 3.48 60
"3351955" "北太平庄" "快餐" 43 20 17 17 3.28 12
"3443005" "北太平庄" "小吃" 19 22 18 19 3.52 15
"3443842" "北太平庄" "其他小吃" 7 22 19 21 3.83 25
"3465367" "五道口" "甜点" 23 21 18 19 3.8 8
"3484147" "北太平庄" "小吃" 191 24 20 19 3.6 32
"3485089" "五道口" "小吃" 70 19 16 16 3.01 26
"3487453" "北太平庄" "火锅" 13 19 16 17 3 52
"3492820" "五道口" "快餐" 33 22 20 18 3.43 18
"3500092" "北太平庄" "快餐" 44 25 19 20 3.81 14
"3506608" "北太平庄" "面包" 22 23 19 20 3.63 40
